IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.97.218.8,2,2,0.00,198.66,3.15
47.101.62.249,2,2,0.00,190.09,0.73
47.100.162.175,2,2,0.00,216.07,0.38
116.207.181.224,2,2,0.00,58.17,0.00
119.36.90.133,2,2,0.00,67.42,0.00
119.96.6.124,2,2,0.00,78.46,0.00
123.6.40.212,2,2,0.00,80.52,0.00
123.6.52.200,2,2,0.00,86.34,0.00
123.6.2.207,2,2,0.00,87.59,0.00
61.54.86.166,2,2,0.00,87.71,0.00
123.6.37.241,2,2,0.00,87.85,0.00
61.184.9.218,2,2,0.00,91.45,0.00
61.240.220.8,2,2,0.00,95.77,0.00
61.184.9.227,2,2,0.00,96.91,0.00
61.241.148.138,2,2,0.00,97.02,0.00
61.240.220.235,2,2,0.00,97.14,0.00
61.240.220.214,2,2,0.00,100.28,0.00
123.6.40.242,2,2,0.00,100.72,0.00
171.15.110.228,2,2,0.00,102.26,0.00
8.131.254.179,2,2,0.00,103.13,0.00
123.6.13.9,2,2,0.00,108.31,0.00
61.240.218.4,2,2,0.00,109.56,0.00
61.241.148.61,2,2,0.00,109.88,0.00
61.49.23.183,2,2,0.00,112.29,0.00
123.6.29.80,2,2,0.00,113.02,0.00
175.6.254.65,2,2,0.00,115.74,0.00
62.234.211.210,2,2,0.00,116.32,0.00
123.6.72.99,2,2,0.00,117.88,0.00
123.6.40.248,2,2,0.00,118.05,0.00
175.6.233.195,2,2,0.00,120.27,0.00
123.6.40.213,2,2,0.00,120.50,0.00
123.6.40.224,2,2,0.00,121.67,0.00
175.6.165.100,2,2,0.00,122.57,0.00
119.96.6.125,2,2,0.00,122.77,0.00
122.189.32.159,2,2,0.00,123.25,0.00
119.36.90.94,2,2,0.00,125.81,0.00
118.212.139.72,2,2,0.00,127.52,0.00
61.170.81.236,2,2,0.00,129.40,0.00
175.6.233.204,2,2,0.00,130.10,0.00
175.6.29.183,2,2,0.00,132.11,0.00
175.6.254.70,2,2,0.00,132.75,0.00
123.6.72.100,2,2,0.00,135.49,0.00
