IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
16.162.37.167,2,2,0.00,162.58,42.25
172.104.127.132,2,2,0.00,87.70,34.73
82.152.163.227,2,2,0.00,198.07,34.47
89.28.239.27,2,2,0.00,137.52,33.25
52.197.230.94,2,2,0.00,190.23,32.11
168.138.194.74,2,2,0.00,132.66,30.10
172.104.110.10,2,2,0.00,91.35,28.04
158.180.68.56,2,2,0.00,201.56,25.64
132.226.1.227,2,2,0.00,170.86,15.29
166.0.198.88,2,2,0.00,203.03,14.45
8.222.233.183,2,2,0.00,240.75,11.92
168.138.46.67,2,2,0.00,137.65,6.71
168.138.201.0,2,2,0.00,80.95,6.66
168.138.165.174,2,2,0.00,156.88,6.44
131.186.60.210,2,2,0.00,151.32,6.24
