IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
129.146.137.89,1,1,0.00,206.88,4.75
8.219.6.150,1,1,0.00,243.14,2.80
47.243.70.186,1,1,0.00,61.76,2.77
8.219.110.81,1,1,0.00,242.28,2.70
8.222.193.65,1,1,0.00,247.48,2.69
8.222.191.138,1,1,0.00,238.35,2.55
152.70.155.147,1,1,0.00,229.26,2.53
8.219.194.170,1,1,0.00,141.19,2.41
47.242.174.27,1,1,0.00,61.92,1.88
8.210.89.245,1,1,0.00,204.35,1.18
8.219.123.11,1,1,0.00,223.73,0.00
8.219.239.79,1,1,0.00,151.72,0.00
8.222.145.43,1,1,0.00,231.65,0.00
8.219.208.104,1,1,0.00,150.18,0.00
8.219.220.88,1,1,0.00,145.57,0.00
47.243.120.239,1,1,0.00,70.65,0.00
8.217.123.243,1,1,0.00,64.88,0.00
8.219.110.248,1,1,0.00,248.82,0.00
