IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
140.238.50.112,2,2,0.00,204.43,33.87
140.238.33.161,2,2,0.00,230.81,32.41
172.104.127.132,2,2,0.00,163.17,30.85
141.147.186.227,2,2,0.00,212.17,30.21
154.31.113.72,2,2,0.00,171.39,27.40
103.20.199.97,2,2,0.00,131.15,22.05
45.32.25.171,2,2,0.00,189.50,18.97
150.230.221.148,2,2,0.00,174.99,17.41
158.101.71.60,2,2,0.00,208.17,17.29
101.141.178.149,2,2,0.00,210.47,16.55
45.77.130.245,2,2,0.00,192.29,15.53
141.147.161.250,2,2,0.00,181.71,6.77
150.230.7.216,2,2,0.00,209.01,6.52
